Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,days_count
1,0,1,3.0,5.0,7.1,0.48,4445
0,0,1,2.0,6.0,7.3,0.52,4421
1,0,1,3.0,5.0,6.0,0.37,4560
0,0,1,1.0,1.0,4.0,0.18,4549
0,0,1,3.0,5.0,7.0,0.69,4556
0,1,1,1.0,4.0,5.6,0.45,4432
1,0,1,3.0,4.0,5.7,0.44,4511
1,0,1,1.0,1.0,3.1,0.15,4458
0,0,1,2.0,4.0,6.3,0.42,4429
1,0,0,1.0,2.0,5.0,0.29,4740
0,0,1,2.0,5.0,4.9,0.41,4725
0,1,1,2.0,3.0,3.1,0.12,4726
1,0,1,3.0,6.0,6.0,0.5,4750
1,0,1,1.0,3.0,3.7,0.29,4688
0,1,0,2.0,2.0,3.5,0.24,4646
1,0,1,4.0,8.0,8.4,0.77,4505
0,1,1,3.0,5.0,5.6,0.4,4444
1,1,0,3.0,5.0,5.9,0.5,4619
0,0,0,1.0,3.0,3.6,0.15,4426
0,1,1,2.0,4.0,5.9,0.41,4461
1,0,1,3.0,6.0,6.7,0.54,4396
1,1,0,3.0,7.0,8.0,0.81,4648
1,0,0,1.0,2.0,5.4,0.36,4689
1,1,1,1.0,3.0,6.2,0.38,4544
0,0,0,4.0,7.0,7.8,0.63,4641
0,0,1,3.0,7.0,6.8,0.67,4712
0,0,0,2.0,4.0,6.9,0.63,4700
1,0,1,3.0,6.0,7.0,0.53,4684
1,0,1,3.0,6.0,7.9,0.72,4702
0,0,0,3.0,7.0,8.1,0.71,4402
1,0,1,1.0,2.0,6.2,0.5,4502
1,1,1,3.0,7.0,7.0,0.57,4643
0,0,1,3.0,4.0,3.9,0.31,4471
0,0,0,3.0,6.0,6.7,0.62,4618
0,1,0,4.0,8.0,8.9,0.72,4746
1,0,1,4.0,6.0,6.5,0.51,4607
1,1,0,3.0,6.0,6.1,0.55,4584
1,0,1,2.0,3.0,5.4,0.44,4669
1,0,0,3.0,7.0,6.1,0.52,4737
1,0,1,0.0,1.0,2.0,0.09,4607
0,0,1,0.0,1.0,1.5,0.08,4637
1,0,0,1.0,4.0,3.8,0.33,4480
0,0,0,2.0,6.0,7.1,0.56,4612
0,1,1,1.0,2.0,2.9,0.12,4553
0,0,0,2.0,5.0,7.3,0.51,4575
0,0,0,3.0,6.0,7.0,0.47,4667
0,0,1,3.0,6.0,6.0,0.58,4667
0,0,1,3.0,6.0,5.6,0.36,4389
1,0,1,2.0,3.0,2.2,0.18,4671
0,1,1,2.0,2.0,3.0,0.16,4659
1,1,1,2.0,4.0,5.0,0.45,4593
0,0,1,2.0,5.0,5.8,0.35,4599
0,1,0,2.0,6.0,7.0,0.57,4741
1,0,1,2.0,4.0,4.2,0.21,4675
1,0,1,3.0,6.0,6.0,0.5,4448
1,0,1,3.0,6.0,5.4,0.43,4536
1,0,1,1.0,3.0,4.3,0.37,4743
0,1,0,1.0,4.0,3.7,0.32,4553
1,0,1,1.0,3.0,3.5,0.19,4595
1,1,1,3.0,6.0,4.6,0.42,4437
1,1,0,2.0,3.0,4.0,0.23,4547
1,0,1,3.0,6.0,7.6,0.56,4598
1,0,1,2.0,3.0,3.2,0.26,4589
1,0,1,2.0,3.0,4.5,0.27,4684
1,1,1,2.0,4.0,4.7,0.29,4677
0,0,1,3.0,7.0,8.0,0.59,4499
0,1,0,4.0,8.0,9.2,0.79,4534
1,1,0,2.0,4.0,6.7,0.48,4444
1,0,0,3.0,6.0,7.1,0.51,4525
0,0,1,3.0,6.0,6.0,0.42,4608
0,1,0,2.0,4.0,5.1,0.39,4667
1,0,0,1.0,4.0,6.4,0.45,4400
0,1,0,3.0,8.0,9.9,0.85,4648
1,1,0,3.0,5.0,6.2,0.47,4576
0,0,1,3.0,5.0,6.9,0.47,4398
0,1,0,4.0,8.0,7.3,0.58,4693
1,1,1,1.0,2.0,1.5,0.11,4613
1,1,1,3.0,5.0,6.6,0.48,4447
1,0,1,3.0,6.0,5.5,0.45,4448
0,0,0,4.0,8.0,8.1,0.8,4540
1,0,0,2.0,4.0,4.7,0.41,4411
0,0,0,3.0,5.0,6.8,0.55,4508
1,1,1,1.0,4.0,5.5,0.38,4425
1,1,1,0.0,1.0,2.9,0.2,4689
0,1,1,0.0,1.0,2.0,0.15,4607
0,0,0,2.0,3.0,2.4,0.06,4479
1,0,0,3.0,6.0,5.6,0.51,4528
0,1,0,4.0,8.0,8.7,0.88,4439
1,0,1,2.0,6.0,6.5,0.53,4587
0,1,0,1.0,2.0,0.5,0.0,4624
0,0,1,2.0,4.0,6.4,0.49,4657
0,1,1,2.0,5.0,7.1,0.52,4415
0,0,0,4.0,6.0,6.2,0.51,4646
0,1,1,1.0,3.0,3.5,0.18,4676
1,0,0,3.0,6.0,7.3,0.51,4733
0,0,1,2.0,5.0,6.5,0.43,4469
1,0,0,2.0,5.0,6.9,0.58,4578
1,0,0,1.0,4.0,5.7,0.41,4430
0,0,1,1.0,2.0,3.8,0.27,4449
1,1,1,3.0,3.0,4.0,0.27,4398
1,0,0,1.0,1.0,4.0,0.17,4742
1,0,0,2.0,5.0,6.7,0.63,4644
1,1,1,1.0,2.0,3.4,0.17,4616
1,0,1,2.0,4.0,5.5,0.33,4739
1,0,0,2.0,2.0,2.9,0.21,4405
1,0,0,3.0,7.0,6.2,0.59,4565
0,0,0,2.0,5.0,6.1,0.59,4668
0,0,1,3.0,5.0,5.3,0.47,4448
0,1,0,2.0,5.0,5.8,0.51,4736
0,0,1,3.0,7.0,8.3,0.7,4681
1,1,0,2.0,5.0,5.2,0.4,4655
1,0,1,0.0,1.0,2.8,0.14,4690
1,0,1,2.0,4.0,5.4,0.36,4540
1,0,1,3.0,5.0,5.7,0.36,4479
1,0,1,0.0,1.0,4.0,0.25,4498
0,1,0,3.0,6.0,7.4,0.69,4572
0,1,0,3.0,5.0,4.7,0.4,4513
1,0,0,1.0,4.0,4.7,0.41,4453
1,0,0,3.0,6.0,5.9,0.43,4458
1,0,0,2.0,2.0,2.6,0.18,4525
0,0,0,2.0,5.0,7.1,0.65,4395
1,0,1,2.0,5.0,7.5,0.61,4677
1,1,1,1.0,4.0,5.0,0.4,4495
0,0,0,3.0,6.0,5.3,0.45,4565
0,1,1,2.0,3.0,5.1,0.31,4559
1,0,0,5.0,10.0,9.8,0.88,4523
0,0,1,3.0,7.0,8.4,0.67,4485
0,1,0,3.0,8.0,8.7,0.8,4485
1,0,0,1.0,3.0,3.9,0.2,4729
1,0,1,1.0,1.0,1.4,0.02,4744
1,0,0,4.0,8.0,7.9,0.74,4454
1,1,1,3.0,4.0,5.9,0.38,4562
0,1,1,1.0,2.0,3.1,0.16,4511
0,0,0,2.0,5.0,5.4,0.51,4474
1,1,1,4.0,7.0,6.5,0.64,4398
1,0,1,1.0,3.0,3.6,0.22,4603
1,0,1,0.0,2.0,3.0,0.17,4542
1,0,0,3.0,5.0,7.1,0.65,4429
1,1,1,3.0,5.0,3.9,0.32,4707
0,0,0,2.0,6.0,6.9,0.58,4516
1,0,1,4.0,9.0,7.4,0.72,4465
1,1,1,1.0,2.0,6.3,0.46,4631
1,0,0,3.0,6.0,8.0,0.68,4560
1,0,1,2.0,4.0,6.3,0.43,4597
1,1,0,2.0,4.0,5.1,0.34,4557
0,0,1,1.0,2.0,4.5,0.24,4604
0,1,1,2.0,4.0,4.6,0.37,4472
1,1,1,0.0,1.0,2.7,0.19,4729
1,1,0,3.0,8.0,9.1,0.84,4426
1,0,1,2.0,4.0,5.8,0.43,4725
0,0,0,4.0,6.0,7.8,0.62,4716
0,0,1,3.0,5.0,7.6,0.55,4583
1,0,0,2.0,4.0,6.8,0.47,4559
0,1,0,4.0,8.0,6.7,0.67,4474
0,1,1,4.0,6.0,7.2,0.64,4656
0,1,1,1.0,1.0,3.5,0.17,4696
0,1,0,2.0,4.0,6.3,0.61,4421
1,1,0,2.0,6.0,7.5,0.65,4707
0,0,0,2.0,5.0,6.9,0.54,4604
1,0,1,2.0,2.0,4.7,0.27,4498
0,0,0,0.0,1.0,0.1,0.01,4639
0,0,0,2.0,4.0,3.9,0.28,4716
0,1,0,3.0,6.0,7.3,0.62,4613
0,1,1,2.0,2.0,3.2,0.18,4530
1,0,0,3.0,7.0,8.2,0.67,4748
0,1,1,3.0,4.0,5.9,0.37,4662
0,0,0,4.0,6.0,6.8,0.6,4548
1,0,0,2.0,3.0,4.5,0.4,4633
0,0,1,2.0,4.0,5.2,0.3,4599
1,1,0,4.0,6.0,6.9,0.64,4577
0,0,1,3.0,5.0,3.8,0.32,4577
0,0,0,3.0,7.0,7.9,0.58,4497
1,0,0,1.0,2.0,3.9,0.26,4404
0,1,1,3.0,5.0,5.5,0.39,4511
1,1,0,4.0,8.0,7.5,0.75,4748
0,0,1,2.0,2.0,4.3,0.25,4680
1,1,0,3.0,5.0,5.2,0.41,4569
1,0,1,0.0,1.0,4.1,0.26,4714
1,0,1,1.0,3.0,5.4,0.46,4530
0,1,0,3.0,6.0,7.1,0.62,4724
1,0,0,3.0,5.0,6.4,0.51,4519
0,0,0,4.0,7.0,6.4,0.56,4395
1,0,0,1.0,4.0,6.1,0.49,4676
1,1,1,0.0,1.0,2.7,0.22,4666
0,0,1,2.0,3.0,6.4,0.47,4405
0,1,0,4.0,9.0,8.9,0.73,4540
0,0,0,3.0,6.0,7.2,0.51,4396
0,0,1,1.0,3.0,6.0,0.47,4674
1,1,1,0.0,2.0,3.3,0.13,4725
0,0,1,2.0,4.0,5.7,0.5,4696
0,0,1,2.0,4.0,5.5,0.37,4662
0,1,0,1.0,4.0,5.6,0.53,4651
1,1,1,2.0,3.0,4.0,0.34,4571
1,0,1,2.0,5.0,8.1,0.65,4577
0,1,0,1.0,1.0,2.5,0.16,4749
0,0,1,2.0,4.0,4.4,0.21,4620
0,0,0,2.0,5.0,7.5,0.65,4748
0,1,0,3.0,6.0,8.1,0.69,4694
1,0,1,3.0,5.0,5.2,0.38,4506
0,0,0,3.0,6.0,7.2,0.61,4571
0,1,0,3.0,7.0,7.1,0.56,4425
1,0,1,3.0,6.0,4.1,0.36,4581
0,1,1,1.0,2.0,4.0,0.21,4439
0,0,0,4.0,9.0,7.8,0.72,4629
1,0,0,1.0,3.0,5.2,0.38,4625
0,1,1,4.0,7.0,5.9,0.52,4600
1,1,0,4.0,6.0,8.1,0.66,4470
1,0,0,2.0,4.0,5.6,0.37,4448
0,1,0,2.0,4.0,5.2,0.43,4667
1,0,1,1.0,1.0,1.0,0.04,4682
1,1,1,3.0,4.0,6.5,0.48,4672
1,1,1,2.0,4.0,5.0,0.36,4565
0,0,0,1.0,4.0,7.6,0.57,4733
1,0,0,2.0,5.0,6.4,0.59,4394
1,1,1,2.0,4.0,6.2,0.49,4677
0,0,0,4.0,7.0,9.6,0.85,4406
1,0,0,3.0,5.0,7.5,0.67,4568
1,1,1,0.0,1.0,4.0,0.25,4667
1,0,0,3.0,6.0,6.9,0.57,4693
1,0,0,3.0,6.0,8.0,0.67,4571
1,0,1,1.0,3.0,5.3,0.37,4681
0,0,1,1.0,2.0,1.5,0.06,4728
1,1,0,1.0,2.0,4.7,0.23,4561
0,1,0,0.0,1.0,0.6,0.05,4404
1,0,1,2.0,4.0,4.0,0.33,4453
0,1,0,2.0,6.0,6.9,0.55,4390
1,0,1,3.0,7.0,6.5,0.57,4704
1,0,0,3.0,6.0,7.9,0.69,4419
1,0,0,2.0,4.0,4.4,0.3,4653
0,0,0,2.0,4.0,4.7,0.26,4536
0,0,1,2.0,5.0,4.4,0.31,4692
0,0,1,3.0,7.0,10.0,0.89,4634
1,0,0,2.0,4.0,7.6,0.59,4470
0,0,1,3.0,5.0,5.1,0.43,4631
0,1,1,2.0,3.0,4.8,0.44,4555
0,0,1,4.0,7.0,9.0,0.78,4661
1,0,1,2.0,5.0,7.1,0.54,4548
1,0,1,1.0,3.0,6.2,0.45,4740
0,0,1,1.0,2.0,4.9,0.32,4413
1,1,1,2.0,3.0,3.4,0.23,4436
0,1,1,1.0,3.0,3.7,0.23,4461
1,1,1,1.0,3.0,5.2,0.32,4701
0,1,1,2.0,3.0,4.4,0.39,4503
1,0,1,1.0,3.0,4.3,0.32,4405
1,0,0,2.0,4.0,4.1,0.34,4389
1,0,0,3.0,6.0,6.9,0.59,4454
0,0,0,3.0,7.0,7.4,0.72,4522
1,0,0,2.0,4.0,5.1,0.37,4719
0,0,0,1.0,4.0,4.2,0.37,4416
1,0,0,3.0,6.0,7.9,0.82,4630
1,0,0,2.0,6.0,6.6,0.63,4717
0,0,1,2.0,3.0,4.0,0.32,4629
1,0,1,2.0,5.0,7.3,0.55,4710
0,0,1,1.0,1.0,1.7,0.08,4486
1,1,1,4.0,7.0,7.0,0.62,4705
1,0,1,2.0,5.0,4.2,0.31,4412
0,0,0,4.0,8.0,7.8,0.74,4502
0,0,0,1.0,2.0,2.7,0.11,4396
0,0,0,3.0,6.0,7.9,0.79,4684
0,0,0,4.0,7.0,5.7,0.52,4412
0,1,0,2.0,5.0,7.8,0.59,4454
1,0,1,1.0,3.0,5.0,0.34,4715
0,0,0,2.0,4.0,7.4,0.63,4726
0,1,0,4.0,9.0,8.4,0.81,4658
1,1,1,2.0,5.0,5.6,0.42,4716
1,0,0,0.0,1.0,3.0,0.2,4590
0,1,1,3.0,7.0,6.3,0.58,4548
0,1,0,2.0,5.0,6.9,0.6,4629
0,0,1,1.0,3.0,6.5,0.42,4423
1,0,1,1.0,4.0,4.8,0.3,4483
1,0,1,2.0,3.0,4.7,0.35,4529
1,0,1,1.0,1.0,3.2,0.26,4494
1,0,0,1.0,3.0,6.1,0.39,4528
1,0,1,3.0,6.0,5.8,0.36,4746
0,0,0,4.0,8.0,9.5,0.85,4743
1,0,1,0.0,1.0,2.8,0.19,4569
0,0,0,2.0,3.0,5.6,0.47,4633
1,0,0,1.0,3.0,4.2,0.35,4746
1,0,0,4.0,9.0,8.9,0.78,4719
0,0,0,1.0,1.0,0.0,0.0,4689
1,0,1,2.0,4.0,6.2,0.38,4562
1,0,0,2.0,4.0,3.8,0.23,4568
1,1,1,2.0,4.0,5.7,0.37,4598
1,0,1,3.0,5.0,5.9,0.48,4721
1,1,0,2.0,4.0,7.4,0.58,4391
0,1,1,1.0,4.0,6.2,0.55,4466
0,1,0,3.0,6.0,7.2,0.62,4624
1,1,0,4.0,6.0,7.3,0.69,4580
1,0,1,2.0,4.0,4.6,0.27,4482
1,0,1,1.0,3.0,3.1,0.25,4663
1,0,0,2.0,4.0,4.9,0.33,4395
1,0,1,3.0,6.0,4.8,0.44,4639
0,1,0,3.0,5.0,4.5,0.41,4727
0,0,0,3.0,6.0,6.4,0.61,4387
1,1,1,2.0,4.0,4.0,0.35,4553
1,0,1,2.0,4.0,5.9,0.44,4636
1,0,0,3.0,8.0,9.4,1.0,4514
0,0,0,3.0,7.0,8.2,0.74,4751
1,1,1,0.0,1.0,2.6,0.08,4423
0,0,1,2.0,5.0,6.3,0.53,4695
1,0,1,0.0,2.0,4.8,0.26,4386
1,0,1,2.0,4.0,4.8,0.29,4728
0,1,0,5.0,9.0,9.6,0.82,4411
0,1,0,3.0,6.0,6.4,0.61,4599
1,1,1,2.0,4.0,4.9,0.45,4527
1,1,1,3.0,4.0,5.4,0.37,4568
1,0,1,1.0,2.0,4.1,0.36,4733
0,0,0,1.0,3.0,5.2,0.31,4680
1,0,1,2.0,4.0,5.6,0.48,4714
1,1,1,5.0,10.0,9.6,1.0,4445
0,1,0,4.0,7.0,9.0,0.86,4418
0,1,1,0.0,1.0,2.1,0.14,4387
0,1,0,3.0,6.0,8.3,0.67,4685
0,0,0,2.0,5.0,7.0,0.52,4667
1,1,1,2.0,5.0,4.0,0.32,4658
1,0,0,3.0,6.0,4.9,0.41,4493
1,1,1,4.0,7.0,8.8,0.74,4526
1,0,1,3.0,4.0,4.7,0.31,4631
1,1,0,1.0,2.0,3.3,0.23,4658
0,1,1,2.0,6.0,8.4,0.7,4578
0,1,0,4.0,7.0,5.6,0.53,4513
0,0,1,1.0,2.0,5.8,0.35,4738
1,1,0,2.0,6.0,8.5,0.71,4682
0,0,1,1.0,3.0,4.1,0.35,4413
1,0,0,2.0,5.0,5.8,0.54,4466
0,0,1,2.0,4.0,6.7,0.46,4616
0,0,0,4.0,7.0,7.6,0.6,4726
0,0,0,3.0,6.0,8.4,0.73,4460
1,1,1,2.0,4.0,5.7,0.4,4742
0,0,1,2.0,4.0,3.7,0.26,4435
0,1,1,1.0,2.0,3.4,0.14,4621
0,0,0,2.0,4.0,4.2,0.33,4667
0,1,1,3.0,7.0,9.3,0.87,4588
0,0,0,2.0,5.0,7.0,0.55,4684
0,1,0,2.0,5.0,6.9,0.58,4469
1,0,1,1.0,3.0,6.2,0.5,4672
0,1,1,3.0,5.0,6.4,0.44,4748
0,1,0,1.0,2.0,3.6,0.31,4713
1,0,1,2.0,3.0,4.8,0.26,4659
1,0,1,2.0,3.0,4.7,0.23,4387
1,1,0,2.0,3.0,5.8,0.48,4554
1,0,1,1.0,3.0,4.5,0.4,4625
0,1,1,1.0,3.0,2.0,0.14,4448
0,1,1,3.0,6.0,6.3,0.57,4486
1,0,1,3.0,7.0,8.8,0.75,4702
1,0,0,3.0,6.0,6.8,0.62,4746
0,0,0,3.0,5.0,5.9,0.4,4631
0,0,1,1.0,4.0,6.2,0.45,4617
1,0,0,2.0,4.0,4.1,0.26,4705
1,0,1,2.0,5.0,7.4,0.69,4515
0,0,0,4.0,7.0,6.6,0.63,4496
1,0,0,2.0,6.0,7.4,0.53,4513
0,0,0,3.0,5.0,6.4,0.61,4532
1,0,1,2.0,4.0,5.3,0.5,4421
1,0,1,2.0,4.0,5.7,0.43,4663
0,1,0,3.0,6.0,7.7,0.65,4407
1,0,0,2.0,5.0,5.6,0.45,4556
0,0,0,2.0,5.0,8.4,0.66,4660
0,0,1,4.0,6.0,6.5,0.5,4573
0,1,0,4.0,7.0,8.1,0.66,4389
1,1,0,4.0,8.0,6.1,0.58,4538
0,0,0,1.0,3.0,2.4,0.18,4574
0,1,0,3.0,7.0,5.5,0.52,4743
1,1,0,3.0,7.0,6.3,0.52,4602
0,1,1,2.0,3.0,4.9,0.43,4592
1,0,1,1.0,2.0,2.0,0.15,4397
0,0,0,2.0,6.0,7.5,0.73,4440
1,0,1,1.0,3.0,2.4,0.17,4426
0,1,1,1.0,3.0,4.2,0.3,4553
1,0,1,2.0,5.0,6.5,0.48,4655
0,1,1,4.0,7.0,8.2,0.67,4606
1,1,0,1.0,3.0,6.0,0.45,4703
0,0,0,4.0,8.0,6.6,0.56,4567
1,0,1,2.0,3.0,7.1,0.48,4676
0,0,1,3.0,5.0,4.6,0.4,4507
0,0,1,1.0,2.0,4.7,0.36,4462
1,0,1,3.0,6.0,6.5,0.55,4562
1,0,0,2.0,4.0,3.5,0.28,4604
0,0,1,3.0,5.0,8.0,0.6,4664
0,1,0,3.0,6.0,7.3,0.58,4738
0,0,1,2.0,5.0,7.1,0.53,4457
0,0,0,0.0,1.0,0.7,0.07,4730
0,0,0,3.0,6.0,7.8,0.8,4466
1,0,1,3.0,6.0,5.2,0.44,4574
0,0,0,2.0,5.0,7.4,0.56,4652
1,0,1,1.0,2.0,2.9,0.23,4488
0,0,0,2.0,5.0,5.5,0.41,4614
1,1,0,3.0,4.0,5.1,0.44,4415
1,0,1,2.0,4.0,4.9,0.29,4450
0,1,0,3.0,4.0,6.5,0.47,4405
1,0,0,1.0,3.0,6.3,0.44,4565
1,1,1,0.0,1.0,0.3,0.01,4674
0,0,0,3.0,6.0,8.5,0.82,4726
0,0,1,3.0,7.0,6.9,0.53,4526
0,1,1,0.0,2.0,3.8,0.17,4568
1,0,1,4.0,6.0,7.8,0.59,4510
1,0,1,2.0,3.0,5.0,0.26,4595
0,0,0,4.0,7.0,6.9,0.57,4645
1,0,0,1.0,4.0,5.7,0.47,4652
1,0,1,3.0,7.0,6.2,0.55,4727
1,0,0,1.0,3.0,3.7,0.28,4513
1,1,1,1.0,3.0,6.5,0.5,4544
1,1,1,1.0,2.0,4.1,0.18,4668
0,1,0,4.0,8.0,6.2,0.6,4715
1,1,0,3.0,4.0,6.4,0.46,4471
0,0,1,2.0,5.0,5.4,0.31,4541
1,0,1,2.0,3.0,3.4,0.24,4697
1,1,1,1.0,3.0,4.9,0.28,4658
1,1,1,0.0,1.0,2.6,0.1,4507
1,0,1,3.0,4.0,6.4,0.44,4655
1,0,0,2.0,5.0,7.4,0.6,4732
1,1,1,1.0,2.0,4.6,0.32,4426
1,0,0,2.0,4.0,6.6,0.43,4602
0,1,1,2.0,4.0,4.1,0.23,4678
0,1,0,3.0,5.0,6.8,0.63,4659
1,0,1,3.0,5.0,5.8,0.41,4725
0,0,1,1.0,3.0,7.0,0.47,4436
1,1,1,1.0,2.0,3.8,0.25,4436
0,1,0,1.0,3.0,3.8,0.33,4722
0,0,1,1.0,1.0,0.5,0.0,4721
0,0,1,3.0,5.0,6.0,0.56,4631
1,1,1,3.0,5.0,5.5,0.5,4712
0,0,0,5.0,10.0,8.2,0.78,4749
0,0,1,1.0,2.0,4.2,0.28,4706
1,1,0,4.0,9.0,9.9,0.87,4728
0,0,0,1.0,2.0,5.1,0.33,4417
0,1,0,2.0,6.0,7.9,0.81,4645
0,1,0,2.0,6.0,6.3,0.54,4546
0,0,0,2.0,7.0,8.8,0.7,4528
1,1,0,2.0,4.0,6.4,0.42,4659
1,0,1,1.0,3.0,5.3,0.4,4636
1,0,1,2.0,4.0,3.6,0.15,4687
1,1,1,3.0,5.0,5.1,0.35,4513
0,0,1,3.0,7.0,9.3,0.77,4567
0,0,1,2.0,4.0,4.3,0.22,4678
0,0,0,2.0,5.0,7.1,0.52,4440
0,1,0,2.0,6.0,8.0,0.73,4434
0,0,1,2.0,4.0,6.2,0.38,4444
0,0,1,2.0,4.0,4.3,0.38,4558
1,0,0,2.0,5.0,3.7,0.3,4627
1,1,0,3.0,7.0,7.6,0.6,4505
0,1,1,1.0,3.0,6.4,0.44,4604
1,0,1,3.0,5.0,5.6,0.45,4468
1,0,0,3.0,7.0,6.4,0.54,4621
1,0,1,1.0,2.0,1.9,0.07,4640
1,0,0,3.0,4.0,4.9,0.45,4565
0,0,1,2.0,6.0,8.1,0.6,4610
1,1,1,1.0,1.0,2.5,0.07,4684
0,0,1,2.0,5.0,5.5,0.36,4549
0,0,0,2.0,6.0,7.2,0.55,4668
1,1,0,2.0,4.0,5.1,0.45,4537
1,1,1,5.0,10.0,9.4,0.8,4592
1,0,0,1.0,3.0,6.0,0.39,4548
1,1,1,3.0,5.0,5.5,0.41,4644
1,0,1,1.0,2.0,6.1,0.43,4417
1,0,1,2.0,3.0,7.1,0.5,4579
0,0,1,3.0,4.0,4.5,0.33,4486
0,0,1,2.0,4.0,5.2,0.39,4750
0,1,0,4.0,8.0,7.5,0.69,4718
1,1,0,2.0,4.0,4.7,0.29,4397
0,1,1,3.0,6.0,8.4,0.66,4425
0,0,1,2.0,5.0,6.4,0.63,4444
1,0,0,5.0,9.0,7.8,0.78,4462
0,0,0,1.0,3.0,5.3,0.35,4480
0,0,0,3.0,6.0,7.7,0.58,4550
1,0,0,3.0,7.0,7.4,0.74,4496
0,0,0,3.0,7.0,8.9,0.72,4402
0,0,0,0.0,1.0,1.1,0.03,4674
1,1,1,3.0,5.0,5.3,0.39,4567
0,0,0,4.0,7.0,7.0,0.7,4723
1,0,0,3.0,8.0,9.4,0.87,4620
0,0,1,2.0,3.0,3.5,0.17,4570
0,1,1,4.0,7.0,8.1,0.78,4393
0,0,0,2.0,4.0,6.0,0.41,4568
0,1,0,1.0,2.0,5.8,0.5,4515
1,0,1,1.0,3.0,5.4,0.45,4726
0,0,0,1.0,4.0,5.8,0.56,4560
0,1,1,3.0,7.0,7.0,0.59,4475
0,0,0,3.0,5.0,7.4,0.58,4727
1,0,1,3.0,8.0,10.0,0.97,4723
1,0,0,1.0,2.0,4.3,0.36,4668
0,0,0,2.0,4.0,5.4,0.33,4719
1,0,1,1.0,3.0,4.5,0.31,4497
0,0,0,2.0,5.0,7.4,0.57,4689
0,0,1,0.0,1.0,1.7,0.02,4584
0,0,0,3.0,6.0,8.6,0.67,4516
0,1,0,3.0,6.0,8.8,0.73,4543
1,1,0,1.0,3.0,5.1,0.36,4386
1,0,1,2.0,3.0,6.0,0.36,4394
1,0,0,2.0,3.0,4.2,0.31,4424
1,0,0,3.0,7.0,10.0,0.89,4559
0,0,1,3.0,6.0,7.6,0.56,4497
0,1,1,1.0,3.0,6.0,0.44,4542
0,1,0,3.0,5.0,4.7,0.37,4443
0,0,1,3.0,6.0,6.5,0.57,4636
0,0,1,4.0,6.0,7.2,0.55,4525
0,0,1,1.0,2.0,5.3,0.33,4689
0,1,1,1.0,3.0,5.0,0.35,4537
0,1,1,0.0,1.0,0.0,0.0,4482
1,0,1,1.0,2.0,3.9,0.32,4441
0,1,0,2.0,6.0,6.4,0.55,4419
1,0,1,2.0,5.0,6.2,0.49,4453
1,0,1,3.0,6.0,6.5,0.45,4467
0,0,0,2.0,6.0,7.1,0.63,4750
0,0,1,1.0,4.0,5.0,0.44,4630
0,0,1,0.0,1.0,2.1,0.09,4623
1,0,1,1.0,4.0,5.6,0.32,4462
1,1,1,0.0,1.0,3.7,0.2,4678
1,0,1,3.0,7.0,8.0,0.62,4677
1,0,1,3.0,5.0,6.9,0.5,4566
1,0,1,1.0,3.0,4.4,0.23,4422
1,0,0,2.0,5.0,6.8,0.52,4398
1,1,0,4.0,6.0,5.7,0.51,4713
0,0,1,3.0,6.0,7.1,0.7,4751
1,0,0,2.0,5.0,5.0,0.3,4582
1,1,1,2.0,3.0,2.5,0.18,4453
0,1,0,4.0,8.0,7.5,0.77,4527
0,1,1,1.0,4.0,4.1,0.33,4650
1,1,1,2.0,3.0,4.4,0.21,4562
0,0,0,3.0,6.0,6.4,0.61,4715
0,0,1,3.0,4.0,4.4,0.39,4714
0,0,0,4.0,7.0,8.0,0.69,4570
1,0,1,1.0,2.0,4.6,0.38,4552
0,0,0,3.0,6.0,6.8,0.54,4559
0,0,0,0.0,1.0,2.5,0.2,4518
0,0,0,3.0,5.0,5.1,0.39,4602
0,1,0,2.0,4.0,6.6,0.62,4663
0,0,1,1.0,2.0,4.2,0.31,4650
1,0,0,2.0,4.0,8.4,0.69,4699
1,0,1,3.0,5.0,6.1,0.46,4547
0,0,1,5.0,9.0,9.3,0.79,4561
1,0,1,3.0,4.0,6.0,0.44,4644
1,0,1,0.0,2.0,3.9,0.26,4488
1,1,1,0.0,1.0,4.7,0.26,4416
1,0,1,2.0,2.0,4.5,0.21,4453
0,1,0,1.0,4.0,5.0,0.4,4674
1,0,1,1.0,2.0,3.8,0.17,4472
0,0,1,2.0,5.0,5.1,0.47,4721
1,0,1,3.0,6.0,5.2,0.47,4669
1,0,0,3.0,6.0,7.6,0.62,4723
0,0,1,4.0,8.0,7.1,0.56,4415
1,0,0,4.0,9.0,7.3,0.74,4732
1,0,1,3.0,4.0,5.7,0.45,4466
0,0,0,5.0,8.0,8.0,0.83,4583
1,1,1,2.0,3.0,6.3,0.43,4675
0,1,0,2.0,6.0,8.3,0.67,4688
0,1,0,2.0,5.0,6.8,0.52,4612
1,0,0,3.0,5.0,5.3,0.31,4540
0,0,1,2.0,3.0,6.3,0.41,4572
1,1,0,2.0,4.0,5.5,0.43,4542
0,0,0,4.0,7.0,8.1,0.65,4406
1,1,1,1.0,2.0,0.0,0.0,4411
0,1,1,2.0,4.0,5.2,0.28,4528
0,1,0,4.0,7.0,8.2,0.75,4451
1,0,1,3.0,4.0,4.7,0.41,4494
1,1,1,2.0,4.0,5.4,0.42,4702
1,1,0,3.0,7.0,9.1,0.9,4634
